,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,price_per_sqft
1,2260 A San Jose Ave,Alameda,CA,94501,689000,1.00,1.00,572.00,91,49.0,74.0,87.0,1204.55
2,888 Willow St,Alameda,CA,94501,1680000,5.00,5.50,3090.00,78,47.0,70.0,87.0,543.69
3,1071 Melrose Ave,Alameda,CA,94502,699000,2.00,2.00,1247.00,43,30.0,55.0,92.0,560.55
4,1041 Melrose Ave,Alameda,CA,94502,929000,3.00,2.50,1738.00,42,30.0,55.0,92.0,534.52
6,1837 Santa Clara Ave,Alameda,CA,94501,1280000,5.00,1.50,2310.00,85,48.0,82.0,87.0,554.11
7,3126 Gibbons Dr,Alameda,CA,94501,1398000,3.00,2.00,2156.00,72,45.0,95.0,87.0,648.42
8,1802 Second St Unit C,Alameda,CA,94501,775000,4.00,2.00,1413.00,54,30.0,60.0,88.0,548.48
9,2206 Clement Ave,Alameda,CA,94501,950000,3.00,2.00,1086.00,87,52.0,81.0,76.0,874.77
10,375 Victoria Bay,Alameda,CA,94502,1765000,4.00,3.00,2209.00,59,30.0,83.0,92.0,799.0
11,3006 Marina Dr,Alameda,CA,94501,1298000,3.00,2.00,1804.00,73,48.0,94.0,87.0,719.51
12,1009 Post St,Alameda,CA,94501,1045000,3.00,1.50,1293.00,73,39.0,82.0,87.0,808.2
13,2394 Mariner Square Drive B6,Alameda,CA,94501,540000,1.00,1.50,780.00,66,64.0,83.0,90.0,692.31
14,1510 Fernside Blvd,Alameda,CA,94501,995000,2.00,1.00,1402.00,67,41.0,89.0,87.0,709.7
15,929 Lafayette St,Alameda,CA,94501,1695000,6.00,2.50,3226.00,79,46.0,75.0,87.0,525.42
16,2704 San Jose Ave,Alameda,CA,94501,949000,2.00,1.00,1083.00,83,48.0,78.0,87.0,876.27
17,406 Itliong Ln,Alameda,CA,94501,1299000,4.00,3.50,2508.00,60,56.0,68.0,88.0,517.94
18,1266 CAROLINE St,Alameda,CA,94501,1595000,4.00,2.50,2209.00,72,47.0,75.0,88.0,722.05
19,2133 SANTA CLARA Ave #327,Alameda,CA,94501,639000,2.00,2.00,1212.00,92,50.0,76.0,87.0,527.23
20,1327 Webster St Unit B206,Alameda,CA,94501,439000,1.00,1.00,701.00,87,48.0,87.0,88.0,626.25
21,2883 Fifth St,Alameda,CA,94501,918490,2.00,2.00,1305.00,65,61.0,76.0,88.0,703.82
22,3231 Santa Cruz Ln,Alameda,CA,94502,850000,3.00,1.50,1320.00,58,30.0,73.0,92.0,643.94
23,108 Brush St Unit B,Alameda,CA,94501,620000,2.00,1.00,731.00,46,31.0,57.0,88.0,848.15
24,965 Shorepoint Ct #204,Alameda,CA,94501,419000,1.00,1.00,772.00,39,31.0,72.0,90.0,542.75
25,2057 San Jose Ave,Alameda,CA,94501,1295000,4.00,4.00,3101.00,81,48.0,70.0,87.0,417.61
26,2154 Santa Clara,Alameda,CA,94501,1798000,6.00,4.50,3175.00,93,50.0,77.0,87.0,566.3
27,612 Haight Ave,Alameda,CA,94501,899000,2.00,2.00,1353.00,92,49.0,80.0,88.0,664.45
28,1109 Mound St,Alameda,CA,94501,1150000,3.00,2.00,1760.00,81,47.0,83.0,87.0,653.41
29,3006 Central Ave,Alameda,CA,94501,1495000,3.00,2.00,2040.00,87,47.0,86.0,87.0,732.84
30,1233 Versailles Ave,Alameda,CA,94501,1295000,4.00,2.00,2053.00,89,49.0,83.0,87.0,630.78
31,333 Driftwood Ln,Alameda,CA,94501,949000,3.00,2.00,1479.00,50,38.0,71.0,90.0,641.65
